Name: 广东新闻, URL: http://mom.coms.hk:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 502 ms
Name: 广东珠江, URL: http://113.100.72.88:8899/udp/239.77.0.114:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 27 ms
Name: 广东珠江, URL: https://php.17186.eu.org/gdtv/web/gdzj.m3u8, Date: None, Resolution: None, Response Time: 120 ms
Name: 广东珠江, URL: http://111.31.22.3/cache.ott.fifalive.itv.cmvideo.cn/000000001000/2000000003000000033/1.m3u8?channel-id=hnbblive&Contentid=2000000003000000033&livemode=1&stbId=3, Date: None, Resolution: None, Response Time: 427 ms
Name: 广东珠江, URL: http://183.3.134.56:9901/tsfile/live/0019_1.m3u8, Date: None, Resolution: None, Response Time: 429 ms
Name: 广东珠江, URL: http://14.212.185.71:9901/tsfile/live/1000_1.m3u8, Date: None, Resolution: None, Response Time: 430 ms
Name: 广东珠江, URL: http://183.11.239.36:808/hls/83/index.m3u8, Date: None, Resolution: None, Response Time: 435 ms
Name: 广东珠江, URL: http://218.13.170.98:9901/tsfile/live/1000_1.m3u8, Date: None, Resolution: None, Response Time: 445 ms
Name: 广东珠江, URL: http://119.125.134.176:9901/tsfile/live/1003_1.m3u8, Date: None, Resolution: None, Response Time: 465 ms
Name: 广东珠江, URL: http://mom.cloudns.be:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 612 ms
Name: 广东珠江, URL: http://183.237.246.14:32/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0, Date: None, Resolution: None, Response Time: 710 ms
Name: 广东珠江, URL: http://121.33.239.242:9901/tsfile/live/1007_1.m3u8, Date: None, Resolution: None, Response Time: 937 ms
Name: 广东珠江, URL: http://120.238.94.10:9901/tsfile/live/1009_1.m3u8, Date: None, Resolution: None, Response Time: 969 ms
Name: 广东珠江, URL: http://gmxw.7766.org:808/hls/83/index.m3u8, Date: None, Resolution: None, Response Time: 1706 ms
Name: 广东珠江, URL: http://163.177.122.122:9901/tsfile/live/1008_1.m3u8, Date: None, Resolution: None, Response Time: 7677 ms
Name: 广东体育, URL: http://14.19.168.64:4022/udp/239.77.0.112:5146$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 4 ms
Name: 广东体育, URL: http://219.159.194.18:8181/tsfile/live/1001_1.m3u8, Date: None, Resolution: None, Response Time: 469 ms
Name: 广东体育, URL: http://163.177.122.71:9901/tsfile/live/1011_1.m3u8, Date: None, Resolution: None, Response Time: 484 ms
Name: 广东体育, URL: http://171.110.42.239:8181/tsfile/live/1026_1.m3u8, Date: None, Resolution: None, Response Time: 528 ms
Name: 广东体育, URL: http://171.110.42.238:8181/tsfile/live/1026_1.m3u8, Date: None, Resolution: None, Response Time: 15828 ms
Name: 广州影视, URL: http://tencentplay.gztv.com/live/yingshi.m3u8?txSecret=1bd3a1082ab5b89f48c1bff9a3760da4&txTime=18d57929bd4, Date: None, Resolution: None, Response Time: 1177 ms
Name: 广州影视, URL: http://tencentplaygzrb01.gztv.com/live/yingshi.m3u8, Date: None, Resolution: None, Response Time: 1681 ms
Name: 广州影视, URL: https://tencentplaywebsite.gztv.com/live/yingshi.m3u8?txSecret=074974bc25835d38fda6936ae40aabe9&txTime=193108637cb, Date: None, Resolution: None, Response Time: 3146 ms
Name: 江门综合, URL: http://tidelive.jmtv.cn/lsdream/4x3T0dO/993/x434c00.m3u8, Date: None, Resolution: None, Response Time: 1503 ms
Name: 大湾区卫视, URL: http://8.138.90.107/公众号【睡眼迷离的猫】/migu.php?id=dwqws$854x480, Date: None, Resolution: 854x480, Response Time: 375 ms
Name: 大湾区卫视, URL: https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=dwqws$854x480, Date: None, Resolution: 854x480, Response Time: 375 ms
Name: 大湾区卫视, URL: http://182.92.109.190:1668/72/72.php?id=dwqws$854x480, Date: None, Resolution: 854x480, Response Time: 375 ms
Name: 大湾区卫视, URL: http://114.105.187.147:9901/tsfile/live/1011_1.m3u8, Date: None, Resolution: None, Response Time: 410 ms
Name: 大湾区卫视, URL: http://tvbox6.icu/tv/dwqws.m3u8, Date: None, Resolution: None, Response Time: 839 ms
Name: 大湾区卫视, URL: http://hsv4dcdn.qnqcdn.net/gdcucc-livod.qn-cdn.gitv.tv/gitv_live/G_NANFANG/G_NANFANG.m3u8?p=GITV&area=GD_CUCC&, Date: None, Resolution: None, Response Time: 1207 ms
Name: 深圳卫视, URL: http://218.241.192.50:8808/rtp/239.3.1.134:8020$1920x1080, Date: None, Resolution: 1920x1080, Response Time: 23 ms
Name: 深圳卫视, URL: http://122.246.75.184:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 405 ms
Name: 深圳卫视, URL: http://171.14.89.182:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 436 ms
Name: 深圳卫视, URL: http://1.197.252.234:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 459 ms
Name: 深圳卫视, URL: http://106.118.70.215:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 490 ms
Name: 深圳卫视, URL: http://1.198.10.32:9901/tsfile/live/0126_1.m3u8, Date: None, Resolution: None, Response Time: 535 ms
